xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,State_S2
-0.1098633,-0.07763672,-0.4492188,0.3670917,0.1209008,-0.1379237,-9.874297,13.08194,1.123124,-9.52986,13.5495,-0.7556152,-0.2460938,0.7290039,0.4487787,0.1406947,0.03032825,-13.41294,44.43501,5.391304,-13.19118,44.48132,Unknown
-0.1062012,-0.07885742,-0.456543,0.2754886,0.2125039,0.091084,-9.864027,13.08143,1.124399,-9.549755,12.91064,-0.7580566,-0.25,0.723877,0.6014504,0.3239008,0.04559542,-13.40473,44.44491,5.391943,-13.41511,44.70768,Unknown
-0.105957,-0.07446289,-0.4560547,-0.07565641,-0.1081069,0.091084,-9.848517,13.07661,1.125675,-9.03665,12.91454,-0.7526855,-0.2429199,0.7163086,0.4487787,0.06435877,0.06086259,-13.39365,44.45409,5.392795,-13.1588,44.85979,Unknown
-0.1079102,-0.07641602,-0.4633789,-0.02985501,-0.01650381,-0.09212208,-9.834447,13.07366,1.124385,-9.124508,12.94043,-0.7529297,-0.248291,0.7229004,0.4487787,0.06435877,-0.04600763,-13.38723,44.45726,5.392151,-13.38058,44.56869,Unknown
-0.1074219,-0.07617188,-0.4597168,-0.197794,-0.1844428,0.04528236,-9.823976,13.0691,1.125064,-9.165496,12.98142,-0.7556152,-0.2543945,0.7272949,-0.1008396,-0.347855,0.2288015,-13.39367,44.45182,5.395583,-13.63463,44.44109,Unknown
-0.1040039,-0.08129883,-0.4577637,0.0006792545,-0.2302443,0.06054974,-9.823995,13.05675,1.125912,-9.825386,12.60944,-0.7536621,-0.2521973,0.7272949,-0.222977,-0.07304579,0.07612977,-13.39962,44.44966,5.396648,-13.53869,44.39383,Unknown
-0.107666,-0.08520508,-0.4504395,-0.1214581,-0.5050534,-0.07685494,-9.837671,13.05303,1.124836,-10.42455,13.21692,-0.75,-0.2529297,0.7263184,-0.3298473,-0.3173206,-0.04600763,-13.40852,44.44191,5.396004,-13.61802,44.27971,Unknown
-0.1066895,-0.07641602,-0.4501953,0.3060229,-0.09283972,-0.06158781,-9.824291,13.05371,1.123974,-9.378592,13.15084,-0.7485352,-0.2504883,0.7307129,0.02129769,0.003290057,0.01506107,-13.40938,44.43509,5.396215,-13.46638,44.09904,Unknown
-0.1086426,-0.07983398,-0.4511719,0.03121376,-0.1691756,0.06054974,-9.822599,13.0571,1.124821,-9.761091,13.33946,-0.7573242,-0.2487793,0.7250977,0.1739695,-0.02724427,-0.0002061129,-13.40577,44.43905,5.396212,-13.3481,44.65169,Unknown
-0.1022949,-0.07446289,-0.4523926,0.1838853,-0.001236677,-0.260061,-9.805859,13.0475,1.12092,-9.120708,12.57768,-0.7592773,-0.2514648,0.71875,0.4029771,0.1559618,-0.01547329,-13.40221,44.4509,5.39598,-13.52376,44.9174,Unknown
-0.1044922,-0.0769043,-0.463623,-0.1061909,0.2583054,-0.0005190372,-9.795034,13.0408,1.120913,-9.191797,12.53544,-0.7570801,-0.2524414,0.7260742,0.5251145,0.06435877,0.1677328,-13.39758,44.45404,5.398328,-13.5312,44.5634,Unknown
-0.1057129,-0.08081055,-0.4560547,0.03121376,-0.031771,0.0147481,-9.794581,13.03669,1.12112,-9.793774,12.85713,-0.7568359,-0.2470703,0.717041,0.4487787,0.339168,0.01506107,-13.39012,44.46842,5.398539,-13.33214,44.94033,Unknown
-0.1142578,-0.0859375,-0.4577637,-0.1367252,-0.2607787,0.0147481,-9.807025,13.04804,1.121326,-10.32298,13.7833,-0.7541504,-0.2470703,0.7229004,-0.009236574,-0.01197708,0.01506107,-13.38857,44.47149,5.39875,-13.30632,44.62993,Unknown
-0.09716797,-0.08154297,-0.4450684,-0.381,-0.3218473,0.259023,-9.819452,13.02475,1.125211,-10.14837,12.12002,-0.7497559,-0.255127,0.7268066,-0.3145801,-0.1341145,0.09139694,-13.40002,44.46461,5.400121,-13.72978,44.22626,Unknown
-0.1108398,-0.07885742,-0.4543457,-0.197794,-0.550855,-0.01578617,-9.817198,13.02701,1.12499,-9.571045,13.51531,-0.7546387,-0.2512207,0.7412109,-0.3298473,-0.179916,0.06086259,-13.40375,44.45199,5.400973,-13.36026,43.95694,Unknown
-0.1047363,-0.07885742,-0.4453125,0.3365571,-0.1386412,-0.09212208,-9.811846,13.02535,1.123701,-9.780508,13.03948,-0.7573242,-0.2490234,0.7307129,0.08236647,-0.08831299,0.06086259,-13.4008,44.45076,5.401825,-13.31309,44.45091,Unknown
-0.1079102,-0.07617188,-0.4504395,0.32129,0.227771,-0.01578617,-9.797976,13.03378,1.12348,-9.338838,13.29038,-0.755127,-0.2509766,0.7314453,0.738855,0.3544351,-0.0002061129,-13.39119,44.45298,5.401822,-13.42691,44.31857,Unknown
-0.1105957,-0.08227539,-0.4567871,0.3060229,0.3041069,-0.260061,-9.796411,13.04533,1.119839,-9.92956,13.40263,-0.7600098,-0.2458496,0.7224121,0.7083206,0.262832,-0.06127481,-13.37755,44.4652,5.400964,-13.19535,44.88376,Unknown
-0.1081543,-0.08374023,-0.4511719,-0.1672597,-0.1081069,0.259023,-9.807403,13.04818,1.123465,-10.2313,13.26219,-0.7617188,-0.2478027,0.7265625,0.3724428,0.09489316,-0.09180916,-13.36982,44.47275,5.399679,-13.24652,44.77748,Unknown
-0.1044922,-0.08105469,-0.4638672,0.01594663,-0.1539084,0.07581687,-9.804515,13.03533,1.124527,-9.673957,12.51127,-0.7580566,-0.2490234,0.7189941,-0.08557248,-0.02724427,-0.0002061129,-13.37172,44.48078,5.399676,-13.4061,44.89283,Unknown
-0.1062012,-0.07788086,-0.4570313,-0.1825268,-0.2760458,0.1674199,-9.799592,13.02861,1.127038,-9.424239,12.90213,-0.7509766,-0.2485352,0.7260742,-0.1008396,-0.07304579,0.09139694,-13.37344,44.47768,5.401047,-13.38343,44.37906,Unknown
